world_id,world_name,seed,condition,precision,mean_lift,selected_ids
1,Stable Baseline,1,Agent A (Raw Experience),0.2,0.005958925957074479,"['prop_signal_shift_up', 'prop_signal_decay_up', 'prop_dummy_17_up', 'prop_dummy_9_down', 'prop_dummy_7_up']"
1,Stable Baseline,1,Agent B (Heuristic Lift),0.4,0.011574114996591101,"['prop_signal_shift_up', 'prop_dummy_15_down', 'prop_signal_up', 'prop_signal_decay_up', 'prop_dummy_17_up']"
1,Stable Baseline,1,Agent C (Evidence Representation),0.4,0.011574114996591101,"['prop_signal_shift_up', 'prop_dummy_15_down', 'prop_signal_up', 'prop_signal_decay_up', 'prop_dummy_17_up']"
1,Stable Baseline,1,Agent D (Matched Random),0.2,0.025805313105517723,"['prop_dummy_1_up', 'prop_dummy_15_up', 'prop_dummy_21_up', 'prop_signal_decay_up', 'prop_dummy_5_up']"
1,Stable Baseline,1,Agent E (Counterfactual Inverted),0.2,-0.011574114996591157,"['prop_signal_shift_down', 'prop_dummy_15_up', 'prop_signal_down', 'prop_signal_decay_down', 'prop_dummy_17_down']"
1,Stable Baseline,2,Agent A (Raw Experience),0.0,-0.019168330445645542,"['prop_spurious_signal_down', 'prop_dummy_21_up', 'prop_dummy_3_down', 'prop_dummy_1_down', 'prop_dummy_12_down']"
1,Stable Baseline,2,Agent B (Heuristic Lift),0.2,0.025110103837186103,"['prop_signal_up', 'prop_signal_shift_up', 'prop_spurious_signal_down', 'prop_dummy_21_up', 'prop_dummy_8_up']"
1,Stable Baseline,2,Agent C (Evidence Representation),0.0,0.011790985363666694,"['prop_spurious_signal_down', 'prop_dummy_21_up', 'prop_dummy_8_up', 'prop_dummy_17_down', 'prop_dummy_20_down']"
1,Stable Baseline,2,Agent D (Matched Random),0.0,-0.03691584174620247,"['prop_spurious_signal_down', 'prop_signal_decay_down', 'prop_dummy_8_down', 'prop_dummy_2_up', 'prop_dummy_20_down']"
1,Stable Baseline,2,Agent E (Counterfactual Inverted),0.0,-0.011790985363666762,"['prop_spurious_signal_up', 'prop_dummy_21_down', 'prop_dummy_8_down', 'prop_dummy_17_up', 'prop_dummy_20_up']"
1,Stable Baseline,3,Agent A (Raw Experience),0.2,0.05031780971248283,"['prop_signal_shift_up', 'prop_dummy_14_down', 'prop_dummy_9_down', 'prop_signal_up', 'prop_dummy_18_down']"
1,Stable Baseline,3,Agent B (Heuristic Lift),0.0,-0.007085300130153527,"['prop_signal_shift_up', 'prop_dummy_14_down', 'prop_dummy_9_down', 'prop_dummy_16_down', 'prop_dummy_19_up']"
1,Stable Baseline,3,Agent C (Evidence Representation),0.0,-0.007085300130153527,"['prop_signal_shift_up', 'prop_dummy_14_down', 'prop_dummy_9_down', 'prop_dummy_16_down', 'prop_dummy_19_up']"
1,Stable Baseline,3,Agent D (Matched Random),0.0,0.04009107024452293,"['prop_dummy_4_down', 'prop_dummy_15_down', 'prop_dummy_14_up', 'prop_dummy_1_up', 'prop_dummy_8_down']"
1,Stable Baseline,3,Agent E (Counterfactual Inverted),0.2,0.007085300130153493,"['prop_signal_shift_down', 'prop_dummy_14_up', 'prop_dummy_9_up', 'prop_dummy_16_up', 'prop_dummy_19_down']"
1,Stable Baseline,4,Agent A (Raw Experience),0.2,0.013315703903939224,"['prop_signal_shift_up', 'prop_signal_up', 'prop_dummy_14_down', 'prop_dummy_19_up', 'prop_dummy_8_up']"
1,Stable Baseline,4,Agent B (Heuristic Lift),0.2,0.013315703903939224,"['prop_signal_shift_up', 'prop_signal_up', 'prop_dummy_14_down', 'prop_dummy_19_up', 'prop_dummy_8_up']"
1,Stable Baseline,4,Agent C (Evidence Representation),0.2,0.013315703903939224,"['prop_signal_shift_up', 'prop_signal_up', 'prop_dummy_14_down', 'prop_dummy_19_up', 'prop_dummy_8_up']"
1,Stable Baseline,4,Agent D (Matched Random),0.0,-0.049847895972831346,"['prop_dummy_4_down', 'prop_dummy_6_down', 'prop_signal_shift_up', 'prop_dummy_20_up', 'prop_dummy_9_down']"
1,Stable Baseline,4,Agent E (Counterfactual Inverted),0.2,-0.013315703903939236,"['prop_signal_shift_down', 'prop_signal_down', 'prop_dummy_14_up', 'prop_dummy_19_down', 'prop_dummy_8_down']"
1,Stable Baseline,5,Agent A (Raw Experience),0.2,-0.0011287433595406182,"['prop_dummy_7_down', 'prop_dummy_18_up', 'prop_dummy_14_down', 'prop_dummy_6_down', 'prop_signal_decay_up']"
1,Stable Baseline,5,Agent B (Heuristic Lift),0.0,0.014885514148537948,"['prop_dummy_5_down', 'prop_dummy_4_down', 'prop_dummy_11_down', 'prop_dummy_10_down', 'prop_signal_shift_up']"
1,Stable Baseline,5,Agent C (Evidence Representation),0.0,0.012948641838638374,"['prop_dummy_5_down', 'prop_dummy_4_down', 'prop_dummy_11_down', 'prop_signal_shift_up', 'prop_dummy_7_down']"
1,Stable Baseline,5,Agent D (Matched Random),0.0,0.013373587049338664,"['prop_dummy_16_down', 'prop_dummy_5_up', 'prop_dummy_20_down', 'prop_dummy_8_up', 'prop_dummy_19_up']"
1,Stable Baseline,5,Agent E (Counterfactual Inverted),0.2,-0.012948641838638374,"['prop_dummy_5_up', 'prop_dummy_4_up', 'prop_dummy_11_up', 'prop_signal_shift_down', 'prop_dummy_7_up']"
1,Stable Baseline,6,Agent A (Raw Experience),0.0,-0.014499731389975656,"['prop_dummy_6_up', 'prop_dummy_7_up', 'prop_dummy_10_up', 'prop_dummy_14_down', 'prop_dummy_1_up']"
1,Stable Baseline,6,Agent B (Heuristic Lift),0.2,-0.006332765152833974,"['prop_dummy_20_down', 'prop_signal_decay_up', 'prop_dummy_6_up', 'prop_dummy_7_up', 'prop_dummy_10_up']"
1,Stable Baseline,6,Agent C (Evidence Representation),0.2,-0.006332765152833974,"['prop_dummy_20_down', 'prop_signal_decay_up', 'prop_dummy_6_up', 'prop_dummy_7_up', 'prop_dummy_10_up']"
1,Stable Baseline,6,Agent D (Matched Random),0.0,-0.0177264149151661,"['prop_dummy_15_up', 'prop_signal_decay_down', 'prop_dummy_12_down', 'prop_dummy_21_up', 'prop_dummy_5_up']"
1,Stable Baseline,6,Agent E (Counterfactual Inverted),0.0,0.006332765152833974,"['prop_dummy_20_up', 'prop_signal_decay_down', 'prop_dummy_6_down', 'prop_dummy_7_down', 'prop_dummy_10_down']"
1,Stable Baseline,7,Agent A (Raw Experience),0.2,0.06048584861203756,"['prop_signal_decay_up', 'prop_dummy_5_down', 'prop_dummy_19_down', 'prop_dummy_9_down', 'prop_dummy_13_down']"
1,Stable Baseline,7,Agent B (Heuristic Lift),0.2,0.05659800487829862,"['prop_signal_decay_up', 'prop_dummy_5_down', 'prop_dummy_3_up', 'prop_dummy_19_down', 'prop_dummy_9_down']"
1,Stable Baseline,7,Agent C (Evidence Representation),0.2,0.05659800487829862,"['prop_signal_decay_up', 'prop_dummy_5_down', 'prop_dummy_3_up', 'prop_dummy_19_down', 'prop_dummy_9_down']"
1,Stable Baseline,7,Agent D (Matched Random),0.0,0.02320068312059157,"['prop_dummy_7_up', 'prop_dummy_1_down', 'prop_dummy_9_down', 'prop_dummy_17_down', 'prop_spurious_signal_down']"
1,Stable Baseline,7,Agent E (Counterfactual Inverted),0.0,-0.05659800487829865,"['prop_signal_decay_down', 'prop_dummy_5_up', 'prop_dummy_3_down', 'prop_dummy_19_up', 'prop_dummy_9_up']"
1,Stable Baseline,8,Agent A (Raw Experience),0.4,0.07144994860364878,"['prop_signal_decay_up', 'prop_dummy_4_up', 'prop_signal_up', 'prop_dummy_12_down', 'prop_dummy_19_down']"
1,Stable Baseline,8,Agent B (Heuristic Lift),0.4,0.09694109582654473,"['prop_signal_decay_up', 'prop_dummy_11_down', 'prop_dummy_4_up', 'prop_dummy_7_down', 'prop_signal_up']"
